Building_Name_English,Building_Name_Traditional_Chinese,Address_English,Address_Traditional_Chinese,COCR_No,BEC_Edition,Issue_Date,Expiry_Date,Remark,Easting,Latitude,Longitude,Northing
"Student Hostel for C.W. CHU College (G/F to 2/F)","朱敬文書院學生宿舍 (地下至二樓)","Campus Circuit North, The Chinese University of Hong Kong","香港中文大學環迴北路","34-01842","2012",2014-07-04,2024-07-03,"","831684","22.34119","114.13238","822457"
"Reason Group Tower","匯城集團大廈","403 Castle Peak Road, Kwai Chung, N.T.","新界葵涌青山道403號","34-01611","2012",2014-07-07,2024-07-06,"","831989","22.36434","114.13533","825021"
"Agricultural Portion, Fung Yuen, Tai Po - TPTL 183 N.T. (Management Office)","Agricultural Portion, Fung Yuen, Tai Po - TPTL 183 N.T. (Management Office)","Fung Yuen Road, Fung Yuen, Tai Po, N.T.","新界大埔鳳園鳳園路","34-01972","2012",2014-07-29,2024-07-28,"","836712","22.46468","114.18119","836132"
"Hang Seng Management College,
Academic Building B","恒生管理學院B座","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-01192","2012",2014-07-29,2024-07-28,"","839873","22.38031","114.21188","826790"
"No.726 Nathan Road","No.726 Nathan Road","724-726 Nathan Road, Mong Kok, Kowloon","九龍旺角彌敦道724-726號","34-01379","2012",2014-08-12,2024-08-11,"","835475","22.3212","114.16918","820244"
"The Open University of Hong Kong Jockey Club Campus","香港公開大學賽馬會校園","81 Chung Hau Street, Ho Man Tin, Kowloon","九龍何文田忠孝街81號","34-01184","2012",2014-08-13,2024-08-12,"","831887","22.28369","114.13436","816090"
"No.2 Cape Drive (Common Area)","環角徑2號(公用空間)","2 Cape Drive, Chung Hum Kok, Hong Kong","香港舂坎角環角徑2號","34-01638","2012",2014-08-20,2024-08-19,"","839250","22.21704","114.20579","808709"
"Kwun Tong Methadone Clinic","觀塘美沙酮診所","Roundabout at Hip Wo Street / Kwun Tong Road, Kwun Tong, Kowloon","九龍觀塘觀塘道/協和街迴旋處","34-02636","2012",2014-09-10,2024-09-09,"","841371","22.31246","114.2264","819277"
"Kadoorie Lookout","加多利峯","110 Argyle Street, Mong Kok, Kowloon","九龍旺角亞皆老街110號","34-01263","2012",2014-10-03,2024-10-02,"","836067","22.32006","114.17492","820117"
"Hang Seng Management College,
Academic Building D","恒生管理學院D座","Hang Shin Link, Sha Tin, N.T.","新界沙田行善里","34-01185","2012",2014-10-03,2024-10-02,"","839873","22.38031","114.21188","826790"
"New Plant Room Annex and New Church Building (A)","New Plant Room Annex and New Church Building (A)","30 Lung Sum Avenue, Sheung Shui, N.T.","新界上水龍琛路30號","34-05837","2012",2014-10-20,2024-10-19,"","835456","22.32787","114.16899","820982"
"Tung Yan Street Interim Hawker Bazaar","同仁街臨時小販市場","Junction of Hip Wo Street & Tung Yan Street, Kwun Tong, Kowloon","九龍官塘協和街及同仁街交匯處","34-02012","2012",2014-10-31,2024-10-30,"","835614","22.30771","114.17053","818749"
"Hip Wo Street Interim Refuse Collection Point","協和街臨時垃圾收集站","Junction of Hip Wo Street & Tung Yan Street, Kwun Tong, Kowloon","九龍官塘協和街及同仁街交匯處","34-07315","2012",2014-10-31,2024-10-30,"","835610","22.30947","114.17049","818944"
"The Pierre","No.1 加冕臺","1 Coronation Terrace, Sheung Wan, Hong Kong","香港上環加冕臺1號","34-01181","2012",2014-11-07,2024-11-06,"","833647","22.2823","114.15144","815936"
"China Mobile Global Network Centre (Office Portion)","中國移動數據中心 (辦公室部分)","3 Chun Cheong Street, Tseung Kwan O Industrial Estate, N.T.","新界將軍澳工業邨駿昌街3號","34-01573","2012",2014-11-07,2024-11-06,"","829057","22.37403","114.10686","826095"
"1L/1M Sai Yeung Choi Street South","1L/1M Sai Yeung Choi Street South","1L-1M Sai Yeung Choi Street South, Mong Kok, Kowloon","九龍旺角西洋菜街南1L-1M號","34-01930","2012",2014-11-07,2024-11-06,"","835614","22.31601","114.17052","819668"
"iclub Fortress Hill Hotel","富薈炮台山酒店","18 Merlin Street, North Point, Hong Kong","香港北角麥連街18號","34-00229","2012",2014-11-07,2024-11-06,"","837851","22.28732","114.19223","816492"
